登録日:20230514
大会情報:NTTドコモ Presents WBC・WBO世界スーパーバンタム級タイトルマッチ 2023年7月25日（火）有明アリーナ
['井上 尚弥（大橋）', 'スティーブン・フルトン（アメリカ）', 'WBC・WBO世界スーパーバンタム級タイトルマッチ級12回戦', 'メイン']
['清水聡（大橋）', 'ロベイシ・ラミレス（キューバ）', 'WBO世界フェザー級タイトルマッチ12回戦', 'セミ']
['堀川龍（三迫）', '坂間叶夢（ワールドスポーツ）', '日本ユースライトフライ級王座決定戦8回戦', '第7試合']
['武居由樹（大橋）', 'ロニー バルドナルド（比国）', '54.0Kg契約8回戦', '第6試合']
['高原裕之（千里馬神戸）', '岩下千紘（駿河男児）', 'フェザー級8回戦', '第5試合']
['今永虎雅（大橋）', 'ヘビ・マラブ（インドネシア）', 'ライト級8回戦', '第4試合']
['篠田将人（野口）', '梶谷有樹（八王子中屋）', 'フライ級6回戦', '第3試合']
['山川健太（大橋）', '中村亮介（ワタナベ）', '東日本新人王予選フェザー級4回戦', '第2試合']
['北野武郎（大橋）', '川上拳汰（石川ジム立川）', '東日本新人王予選ミニマム級4回戦', '第1試合']
大会情報:東日本新人王予選 2023年5月19日（金）後楽園ホール
['山田　龍斗（大橋）', '徳島 佐助（ワタナベ）', '東日本新人王予選フライ級4回戦', '']
大会情報:東日本新人王予選 2023年5月26日（金）後楽園ホール
['厚地 嶺（大橋）', '永瀬 大揮（竹原＆畑山）', '東日本新人王予選スーパーフライ級4回戦', '']
['内田 勇心（大橋）', 'ミルザド・マハディ（本多）', '東日本新人王予選スーパーバンタム級4回戦', '']
大会情報:WHO‘ｓ NEXT DYNAMIC GLOVE on U-NEXT 2023年6月3日（土）後楽園ホール
['保田克也（大橋）', 'アピチェット・ペッチマネー（タイ）', 'WBOアジアパシフィック ライト級王座決定戦', '']
大会情報:PXB フェニックスバトル101　powered by ＮＴＴドコモ　Lemino生配信 2023年6月29日（木）後楽園ホール　17：50試合開始
['中嶋一輝（大橋）', 'ＴＪ・ドヘニー（アイルランド）', 'WBOアジアパシフィックスーパーバンタム級タイトルマッチ12回戦', 'メイン']
['下町俊貴（グリーンツダ）', '大湾硫斗（志成）', '日本スーパーバンタム級王座決定戦10回戦', 'セミ']
['石井武志（大橋）', 'ナチャポン・ウイチャイタ（タイ）', 'ミニマム級8回戦', '第4試合']
['田中湧也（大橋）', '小川寛樹（帝拳）', 'バンタム級8回戦', '第3試合']
['山﨑裕生（大橋）', 'オアティポン・チャンカーム（タイ）', 'スーパーバンタム級6回戦', '第2試合']
['ケニアン　サムライ（大橋）', '内田光樹（花形）', '東日本新人王予選ミドル級4回戦', '第1試合']
['水口滉太郎（大橋）', '髙橋昭磨（ARITOMI）', 'フライ級4回戦', '']
